Source,Target,Weight
8433,6492,1
8433,6422,1
8433,6371,1
8433,6148,1
8433,6084,1
8433,6083,1
8433,6047,1
8433,6017,1
8433,5986,1
8433,5939,1
8433,5859,1
8433,5823,1
8433,5709,1
8433,5246,1
8433,5198,1
8433,5166,1
8433,5134,1
8433,5119,1
8433,4872,1
8433,4855,1
8433,4848,1
8433,4633,1
8433,4506,1
8433,4456,1
8433,4434,1
8433,4402,1
8433,4259,1
8433,4121,1
8433,4109,1
8433,4102,1
8433,4089,1
8433,4079,1
8433,3990,1
8433,3696,1
8433,3678,1
8433,3655,1
8433,3486,1
8433,3422,1
8433,3382,1
8433,3223,1
8433,3119,1
8433,3096,1
8433,3062,1
8433,2928,1
8433,2888,1
8433,2833,1
8433,2780,1
8433,2691,1
8433,2586,1
8433,2545,1
8433,2445,1
8433,2443,1
8433,2391,1
8433,2388,1
8433,2368,1
8433,2340,1
8433,2331,1
8433,2310,1
8433,2179,1
8433,2124,1
8433,1949,1
8433,1946,1
8433,1940,1
8433,1931,1
8433,1845,1
8433,1716,1
8433,1631,1
8433,1500,1
8433,1317,1
8433,1246,1
8433,1158,1
8431,8301,1
8431,6572,1
8431,6016,1
8431,1941,1
8431,407,1
8431,2,1
8430,2,1
8428,8301,1
8428,2,1
8424,8423,1
8424,8404,1
8424,8366,1
8424,8360,1
8424,8301,1
8424,8042,1
8424,7217,1
8424,6712,1
8424,6555,1
8424,5216,1
8424,5174,1
8424,4569,1
8424,4032,1
8424,3062,1
8424,2965,1
8424,2160,1
8424,592,1
8424,24,1
8424,2,1
8419,8479,1
8419,8475,1
8419,8449,1
8419,8308,1
8419,8301,1
8419,2521,1
8419,726,1
8419,2,1
8418,8301,1
8418,5364,1
8418,2,1
8415,346,1
8415,2,1
8414,1321,1
8414,2,1
8404,7872,1
8404,6016,1
8404,346,1
8396,577,1
8396,2,1
8390,8301,1
8382,8367,1
8382,8301,1
8382,1136,1
8382,2,1
8381,8367,1
8381,5284,1
8381,175,1
8381,2,1
8380,8379,1
8380,4859,1
8380,2,1
8374,8367,1
8374,2895,1
8374,59,1
8374,2,1
8372,8371,1
8372,8367,1
8372,2895,1
8372,59,1
8372,24,1
8372,2,1
8370,8367,1
8370,8365,1
8370,8301,1
8370,4859,1
8370,2895,1
8370,24,1
8370,2,1
8367,8366,1
8367,8309,1
8367,8301,1
8367,6016,1
8367,5802,1
8367,4532,1
8367,4079,1
8367,3409,1
8367,3108,1
8367,2895,1
8367,24,1
8367,2,1
8366,8092,1
8366,7871,1
8366,5426,1
8366,2914,1
8366,2735,1
8366,2,1
8364,8363,1
8364,8362,1
8364,8309,1
8364,8301,1
8364,24,1
8364,2,1
8363,8362,1
8363,8309,1
8363,8301,1
8363,24,1
8363,2,1
8362,8309,1
8362,8301,1
8362,5284,1
8362,24,1
8362,2,1
8360,8359,1
8360,8301,1
8360,1846,1
8360,1678,1
8360,2,1
8359,8358,1
8359,8301,1
8359,2895,1
8359,195,1
8359,2,1
8351,8347,1
8351,8341,1
8351,8309,1
8351,8301,1
8351,8256,1
8351,7355,1
8351,6016,1
8351,2895,1
8351,2,1
8349,8347,1
8349,8309,1
8349,8301,1
8349,8256,1
8349,8211,1
8349,5769,1
8349,4859,1
8349,2895,1
8349,2,1
8347,8301,1
8347,8211,1
8347,7959,1
8347,5284,1
8347,5174,1
8347,577,1
